rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-9890	2,5-dichloro-trans-dienelactone hydrolase	3.1.1.45	NA									|PWY-6094|	no_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	NA
RXN-9891	2,5-dichloromaleylacetate reductase	1.3.1.32	NA	UniRef90_Q93T12	26.686	1.62e-23	98.6	86	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2090465	2091481	|PWY-6094|	bad_blast	NA	rxn02141 rxn02142 rxn03656 rxn04663 rxn06904 rxn07595 rxn15999 rxn16000 rxn16085 rxn16086 rxn20159 	NA	0	NA
RXN-17093	RXN-17093		NA									|PWY-6094|	spontaneous	NA	 	NA	0	NA
RXN-18363	RXN-18363		NA									|PWY-6094|	spontaneous	NA	 	NA	0	NA
RXN-18362	RXN-18362		NA									|PWY-6094|	spontaneous	NA	 	NA	0	NA
RXN-9895	dammaradiene synthase	5.4.99.37	NA									|PWY-6095|	no_blast	NA	rxn16558 	NA	0	NA
5.4.99.17-RXN	hop-22(29)-ene synthase	5.4.99.17	NA									|PWY-6098|	no_blast	NA	rxn05070 	NA	0	NA
RXN-4961	hopan-22-ol synthase	4.2.1.129	NA									|PWY-6098|	no_blast	NA	rxn05071 	NA	0	NA
RXN-9875	1,2,4,5-tetrachlorobenzene dioxygenase	1.14.12.26	NA									|PWY-6099|	no_seq_data	NA	 	NA	0	NA
RXN-9876	RXN-9876		NA									|PWY-6099|	spontaneous	NA	 	NA	0	NA
RXN-9902	5-chloro-3-methylcatechol 1,2-dioxygenase	1.13.11.M6	NA									|PWY-6102|	no_blast	NA	 	NA	0	NA
RXN-9905	4-chloro-2-methyl-cis,cis-muconate cycloisomerase	5.5.1.7	NA									|PWY-6102|	no_blast	NA	rxn02970 rxn03612 rxn03692 rxn03693 rxn04649 rxn04655 rxn06910 rxn07169 rxn07907 rxn15997 rxn16077 rxn16079 rxn16083 	NA	0	NA
RXN-17091	RXN-17091		NA									|PWY-6102|	spontaneous	NA	 	NA	0	NA
RXN-9904	RXN-9904		NA									|PWY-6102|	spontaneous	NA	 	NA	0	NA
RXN-9906	3-chlorotoluene dioxygenase	1.14.12.26	NA									|PWY-6103|	no_seq_data	NA	 	NA	0	NA
RXN-9907	5-chloro-3-methyl benzene dihydrodiol dehydrogenase	1.3.1.119	NA									|PWY-6103|	no_seq_data	NA	 	NA	0	NA
RXN-9908	3-chlorotoluene methyl-monooxygenase	1.14.15.26	NA									|PWY-6104|	no_blast	NA	 	NA	0	NA
RXN-9909	3-chlorobenzyl alcohol dehydrogenase	1.1.1.90	NA									|PWY-6104|	no_blast	NA	rxn01293 rxn01597 rxn01902 rxn02996 rxn03547 rxn03594 rxn03649 rxn03650 rxn19186 rxn25928 rxn32160 	NA	0	NA
RXN-9910	Chlorobenzaldehyde dehydrogenase (NAD+)	1.2.1.28	NA									|PWY-6104|	no_blast	NA	rxn00957 rxn01032 rxn03601 rxn03934 rxn03935 rxn07482 rxn25930 	NA	0	NA
RXN-9913	(+)-4-chloromuconolactone hydrolase		NA									|PWY-6107|	no_seq_data	NA	 	NA	0	NA
RXN-9912	4-chlorosalicylate monooxygenase	1.14.13.1	NA									|PWY-6107|	no_blast	NA	rxn00589 rxn03906 rxn04724 rxn04745 rxn04748 rxn20843 rxn25932 rxn25934 	NA	0	NA
RXN-9870	4-chlorocatechol 1,2-dioxygenase	1.13.11.M6	NA									|PWY-6107|	no_blast	NA	 	NA	0	NA
RXN-9892	2-chloro-2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing)	5.5.1.7	NA									|PWY-6107|	no_blast	NA	rxn02970 rxn03612 rxn03692 rxn03693 rxn04649 rxn04655 rxn06910 rxn07169 rxn07907 rxn15997 rxn16077 rxn16079 rxn16083 	NA	0	NA
MALEYLACETATE-REDUCTASE-RXN	maleylacetate reductase	1.3.1.32	NA	tr|Q471H8|Q471H8_CUPPJ	27.129	3.34e-26	106	82	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2090453	2091388	|PWY-6107|	bad_blast	NA	rxn02141 rxn02142 rxn03656 rxn04663 rxn06904 rxn07595 rxn15999 rxn16000 rxn16085 rxn16086 rxn20159 	NA	0	NA
RXN-9869	(+)-4-chloromuconate cycloisomerase		NA									|PWY-6107|	no_seq_data	NA	 	NA	0	NA
RXN-9914	5-chlorosalicylate 1-monooxygenase	1.14.13.1	NA									|PWY-6107|	no_blast	NA	rxn00589 rxn03906 rxn04724 rxn04745 rxn04748 rxn20843 rxn25932 rxn25934 	NA	0	NA
RXN-9935	mannosylfructose-phosphate synthase	2.4.1.246	NA									|PWY-6116|	no_blast	NA	rxn14357 rxn15878 	NA	0	NA
RXN-9936	mannosylfructose-phosphate phosphatase	3.1.3.79	NA	UniRef90_A9CK30	22.868	0.014	32.7	89	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	489136	489903	|PWY-6116|	bad_blast	NA	rxn13949 	NA	0	NA
CHORISMATEMUT-RXN	CHORISMATEMUT-RXN	5.4.99.5	NA	UniRef90_O67085	29.392	5.54e-24	100	75	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	287046	287906	|PWY-6120|	bad_blast	NA	rxn01256 	NA	0	NA
PREPHENATE-TRANSAMINE-RXN	prephenate aminotransferase	2.6.1.79		UniRef90_A3PMF8	45.823	1.69e-104	335	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1904347	1905528	|PWY-6120|	good_blast	NA	rxn05036 rxn28083 	NA	0	1
PREPHENATE-TRANSAMINE-RXN	prephenate aminotransferase	2.6.1.79		UniRef90_A3PMF8	40.633	3.95e-71	239	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1609941	1608844	|PWY-6120|	good_blast	NA	rxn05036 rxn28083 	NA	0	1
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	arogenate dehydrogenase	1.3.1.43	NA	UniRef90_Q04983	28.889	7.13e-12	62.4	75	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	288197	288862	|PWY-6120|	bad_blast	NA	rxn00525 rxn33966 	NA	0	NA
PRPPAMIDOTRANS-RXN	phosphoribosylpyrophosphate amidotransferase	2.4.2.14		UniRef90_P00497	60.435	0.0	588	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	962009	963385	|PWY-6121|	good_blast	threshold	rxn00790 rxn34051 	NA	0	1
GLYRIBONUCSYN-RXN	phosphoribosylamine-glycine ligase	6.3.4.13		UniRef90_P12039	52.153	1.52e-133	420	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	964710	965963	|PWY-6121|	good_blast	threshold	rxn02895 rxn34052 	NA	0	1
GLYRIBONUCSYN-RXN	phosphoribosylamine-glycine ligase	6.3.4.13		UniRef90_P15640	46.604	1.44e-116	371	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	964707	965963	|PWY-6121|	good_blast	threshold	rxn02895 rxn34052 	NA	0	1
GLYRIBONUCSYN-RXN	phosphoribosylamine-glycine ligase	6.3.4.13		UniRef90_O66949	45.093	6.75e-105	337	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	964707	965963	|PWY-6121|	good_blast	threshold	rxn02895 rxn34052 	NA	0	1
GLYRIBONUCSYN-RXN	phosphoribosylamine-glycine ligase	6.3.4.13		UniRef90_B4REI0	39.810	1.14e-87	288	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	964710	965960	|PWY-6121|	good_blast	threshold	rxn02895 rxn34052 	NA	0	1
GART-RXN	phosphoribosylglycinamide formyltransferase 1	2.1.2.2	NA									|PWY-6121|	no_blast	threshold	rxn03004 rxn03005 rxn33724 	NA	0	NA
FGAMSYN-RXN	phosphoribosylformylglycinamide synthetase	6.3.5.3	NA									|PWY-6121|	no_blast	threshold	rxn03084 rxn34055 	Subunit PurL	0	1
FGAMSYN-RXN	phosphoribosylformylglycinamide synthetase	6.3.5.3	NA									|PWY-6121|	no_blast	threshold	rxn03084 rxn34055 	Subunit PurQ	0	1
FGAMSYN-RXN	phosphoribosylformylglycinamide synthetase	6.3.5.3		UniRef90_F0I508	47.280	0.0	1111	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	942341	946057	|PWY-6121|	good_blast	threshold	rxn03084 rxn34055 	Subunit undefined	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A1A0R8	88.131	0.0	578	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963634	964644	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A3CJZ4	68.485	1.58e-128	402	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964632	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A3DEV1	58.702	5.27e-123	386	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964659	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5VHU0	54.711	1.67e-112	356	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964632	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5G3H3	53.687	1.81e-107	342	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964662	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A0LA23	51.940	2.35e-102	327	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964650	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A1KA97	54.896	2.58e-100	321	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964650	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A0Q1J2	51.488	1.07e-100	321	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964650	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A6TLS5	51.014	3.56e-99	318	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963634	964665	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A1JKZ7	52.266	2.80e-99	318	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963625	964617	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A3N1A1	53.824	4.42e-99	317	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964662	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A0KM24	52.493	1.84e-97	313	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964665	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5W7R7	51.652	5.34e-97	311	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963625	964620	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A1TZ73	50.737	6.38e-97	311	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963625	964638	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A4XKZ4	51.212	3.73e-96	309	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964632	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A3QD32	52.108	1.04e-95	308	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964638	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A6U7L8	51.895	1.25e-92	299	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964653	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A2BTH0	45.401	1.38e-87	284	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964653	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A2C535	45.748	1.45e-84	276	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964656	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5GIY3	46.687	3.73e-83	271	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964632	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5GVR5	47.904	2.49e-81	266	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964632	|PWY-6121|	good_blast	threshold	rxn02937 rxn34056 	NA	0	1
PRPPAMIDOTRANS-RXN	amidophosphoribosyltransferase	2.4.2.14		UniRef90_P00497	60.435	0.0	588	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	962009	963385	|PWY-6122|	good_blast	full	rxn00790 rxn34051 	NA	0	1
GLYRIBONUCSYN-RXN	phosphoribosylamine-glycine ligase	6.3.4.13		UniRef90_P12039	52.153	1.52e-133	420	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	964710	965963	|PWY-6122|	good_blast	full	rxn02895 rxn34052 	NA	0	1
GLYRIBONUCSYN-RXN	phosphoribosylamine-glycine ligase	6.3.4.13		UniRef90_P15640	46.604	1.44e-116	371	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	964707	965963	|PWY-6122|	good_blast	full	rxn02895 rxn34052 	NA	0	1
GLYRIBONUCSYN-RXN	phosphoribosylamine-glycine ligase	6.3.4.13		UniRef90_O66949	45.093	6.75e-105	337	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	964707	965963	|PWY-6122|	good_blast	full	rxn02895 rxn34052 	NA	0	1
GLYRIBONUCSYN-RXN	phosphoribosylamine-glycine ligase	6.3.4.13		UniRef90_B4REI0	39.810	1.14e-87	288	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	964710	965960	|PWY-6122|	good_blast	full	rxn02895 rxn34052 	NA	0	1
FGAMSYN-RXN	phosphoribosylformylglycinamide synthetase	6.3.5.3	NA									|PWY-6122|	no_blast	full	rxn03084 rxn34055 	Subunit PurL	0	1
FGAMSYN-RXN	phosphoribosylformylglycinamide synthetase	6.3.5.3	NA									|PWY-6122|	no_blast	full	rxn03084 rxn34055 	Subunit PurQ	0	1
FGAMSYN-RXN	phosphoribosylformylglycinamide synthetase	6.3.5.3		UniRef90_F0I508	47.280	0.0	1111	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	942341	946057	|PWY-6122|	good_blast	full	rxn03084 rxn34055 	Subunit undefined	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A1A0R8	88.131	0.0	578	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963634	964644	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A3CJZ4	68.485	1.58e-128	402	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964632	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A3DEV1	58.702	5.27e-123	386	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964659	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5VHU0	54.711	1.67e-112	356	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964632	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5G3H3	53.687	1.81e-107	342	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964662	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A0LA23	51.940	2.35e-102	327	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964650	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A1KA97	54.896	2.58e-100	321	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964650	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A0Q1J2	51.488	1.07e-100	321	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964650	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A6TLS5	51.014	3.56e-99	318	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963634	964665	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A1JKZ7	52.266	2.80e-99	318	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963625	964617	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A3N1A1	53.824	4.42e-99	317	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964662	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A0KM24	52.493	1.84e-97	313	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964665	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5W7R7	51.652	5.34e-97	311	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963625	964620	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A1TZ73	50.737	6.38e-97	311	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963625	964638	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A4XKZ4	51.212	3.73e-96	309	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964632	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A3QD32	52.108	1.04e-95	308	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963643	964638	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A6U7L8	51.895	1.25e-92	299	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964653	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A2BTH0	45.401	1.38e-87	284	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964653	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A2C535	45.748	1.45e-84	276	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964656	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5GIY3	46.687	3.73e-83	271	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964632	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
AIRS-RXN	phosphoribosylformylglycinamide cyclo-ligase	6.3.3.1		UniRef90_A5GVR5	47.904	2.49e-81	266	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	963646	964632	|PWY-6122|	good_blast	full	rxn02937 rxn34056 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A1A0S3	87.186	0.0	672	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939925	941118	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A1K4Y1	51.918	2.95e-112	357	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939892	941061	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A0KK42	51.989	5.02e-111	354	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939892	941016	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A1JLK9	49.476	5.95e-106	339	92	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939892	941034	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A1S9F3	50.133	1.17e-105	338	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939892	941019	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A1SWW0	46.472	4.29e-105	337	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939892	941112	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A1BHN0	46.667	4.58e-102	328	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939922	941118	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A1TE53	48.434	9.74e-102	327	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939892	941109	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A1ANT6	47.304	3.44e-101	325	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939892	941112	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A0R2Y2	48.395	4.77e-101	325	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939892	941085	|PWY-6122|	good_blast	full	 	NA	0	1
GARTRANSFORMYL2-RXN	phosphoribosylglycinamide formyltransferase 2	6.3.1.i		UniRef90_A0Q8N2	44.357	5.56e-96	310	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	939922	941061	|PWY-6122|	good_blast	full	 	NA	0	1
SAICARSYN-RXN	phosphoribosylaminoimidazole-succinocarboxamide synthase	6.3.2.6		UniRef90_A3CJZ1	47.009	3.08e-71	232	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	941535	942236	|PWY-6123|	good_blast	full	rxn03147 rxn28980 rxn34058 rxn35571 	NA	0	1
SAICARSYN-RXN	phosphoribosylaminoimidazole-succinocarboxamide synthase	6.3.2.6		UniRef90_A5EXP1	49.356	1.36e-68	225	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	941517	942215	|PWY-6123|	good_blast	full	rxn03147 rxn28980 rxn34058 rxn35571 	NA	0	1
SAICARSYN-RXN	phosphoribosylaminoimidazole-succinocarboxamide synthase	6.3.2.6		UniRef90_A1U1A4	45.378	4.84e-64	212	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	941517	942230	|PWY-6123|	good_blast	full	rxn03147 rxn28980 rxn34058 rxn35571 	NA	0	1
SAICARSYN-RXN	phosphoribosylaminoimidazole-succinocarboxamide synthase	6.3.2.6		UniRef90_A0Q1J4	46.218	2.74e-63	209	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	941517	942230	|PWY-6123|	good_blast	full	rxn03147 rxn28980 rxn34058 rxn35571 	NA	0	1
SAICARSYN-RXN	phosphoribosylaminoimidazole-succinocarboxamide synthase	6.3.2.6		UniRef90_A4J726	42.857	9.59e-63	208	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	941517	942230	|PWY-6123|	good_blast	full	rxn03147 rxn28980 rxn34058 rxn35571 	NA	0	1
SAICARSYN-RXN	phosphoribosylaminoimidazole-succinocarboxamide synthase	6.3.2.6		UniRef90_A0L4X9	45.833	5.93e-62	206	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	941517	942230	|PWY-6123|	good_blast	full	rxn03147 rxn28980 rxn34058 rxn35571 	NA	0	1
SAICARSYN-RXN	phosphoribosylaminoimidazole-succinocarboxamide synthase	6.3.2.6		UniRef90_A0RPI2	44.770	3.56e-60	201	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	941517	942227	|PWY-6123|	good_blast	full	rxn03147 rxn28980 rxn34058 rxn35571 	NA	0	1
AICARSYN-RXN	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole lyase	4.3.2.2		UniRef90_P44797	45.416	5.63e-128	405	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2245925	2244519	|PWY-6123|	good_blast	full	rxn00800 rxn03136 rxn27691 rxn35572 	NA	0	1
